author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability
raquelmsmith,19,13,0.6842105263157895,3.1850810185185185,15,9,1.0,16.105817568995164
richardsolomou,50,41,0.82,0.30324074074074076,27,35,0.94,14.535963034140636
rnegron,20,14,0.7,0.5711400462962963,6,20,1.0,27.484216865662372
robbie-c,90,78,0.8666666666666667,0.43527199074074074,49,36,1.0,29.884893919674678
rodrigoi,63,49,0.7777777777777778,1.3378819444444445,38,26,0.9206349206349206,4.294278420335436
rohan-pandeyy,1,0,0.0,,1,0,1.0,
rossgray,51,47,0.9215686274509803,0.6954050925925926,30,19,1.0,13.290128674006002
rui-movio,1,0,0.0,,1,0,1.0,
ryansydnor,1,0,0.0,,1,0,1.0,
sakce,180,126,0.7,0.8313425925925926,67,77,0.9166666666666666,65.10875623755858
salmanmkc,2,1,0.5,4.668576388888889,1,2,1.0,0.0
sampennington,128,100,0.78125,0.8578414351851852,44,85,0.9296875,3.2806682237903346
sapdragon,1,0,0.0,,1,0,1.0,
sarahxsanders,13,13,1.0,0.6729282407407408,13,3,1.0,6.185167161442164
sayer122,1,1,1.0,1.0356597222222221,1,0,1.0,0.0
sbrin,1,0,0.0,,1,1,1.0,
skoob13,124,103,0.8306451612903226,0.16503472222222224,50,58,0.8951612903225806,10.046420777713232
slshults,7,6,0.8571428571428571,2.2205555555555554,6,4,1.0,2.547296691643358
smallbrownbike,1,0,0.0,,1,0,1.0,
sortafreel,41,30,0.7317073170731707,0.09757523148148148,26,25,0.975609756097561,14.811326050337694
tahatkn,1,0,0.0,,1,1,1.0,
tatoalo,63,53,0.8412698412698413,0.06770833333333333,39,26,0.9841269841269841,11.820791464275933
tejasae-afk,1,0,0.0,,1,1,1.0,
tharani-2006,1,0,0.0,,1,0,1.0,
themavik,1,0,0.0,,1,0,1.0,
thmsobrmlr,119,89,0.7478991596638656,0.9117592592592593,48,46,0.9411764705882353,24.993388315654087
timgl,15,9,0.6,0.3312037037037037,12,3,1.0,4.380106214568622
timon0305,4,0,0.0,,2,0,1.0,
tomasfarias,49,43,0.8775510204081632,0.07216435185185185,33,24,1.0,4.6432497527492975
vdekrijger,76,65,0.8552631578947368,1.2517592592592592,43,26,0.9473684210526315,72.83243729748752
veryayskiy,118,106,0.8983050847457628,0.04995370370370371,55,54,1.0,4.916326184761513
vmaineng,3,0,0.0,,3,2,1.0,
webjunkie,197,158,0.8020304568527918,0.4612731481481481,62,101,0.9441624365482234,72.44778212343667
will-marella,1,1,1.0,4.132199074074074,1,0,1.0,0.0
willwearing,2,0,0.0,,2,1,1.0,
wudidapaopao,1,0,0.0,,1,0,1.0,
xljones,4,3,0.75,1.591736111111111,4,4,1.0,5.770973701161456
xr843,1,0,0.0,,1,1,1.0,
yasen-posthog,87,78,0.896551724137931,0.813605324074074,40,41,0.9195402298850575,10.067390314521877
yoavf,1,0,0.0,,1,0,1.0,
z0br0wn,17,15,0.8823529411764706,1.9525115740740742,11,11,1.0,21.39305334927984
zaniluca,3,0,0.0,,3,3,1.0,
zhou-quickli,1,1,1.0,4.179467592592593,1,0,1.0,0.0
zlwaterfield,1,1,1.0,100.64570601851852,1,0,1.0,0.0
