author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability,median_time_to_merge_inv,activity_score,merge_rate_norm,total_prs_merged_norm,median_time_to_merge_inv_norm,product_impact_ratio_norm,activity_score_norm,days_active_norm,recent_prs_norm,stability_norm,impact_score
ceyniustranberg,2,1,0.5,0.2253587962962963,2,2,1.0,0.0,4.437368394021878,4.437368394021878,0.5,0.004484304932735426,0.0827735160271872,1.0,0.002066828022419513,0.012987012987012988,0.017094017094017096,0.0,0.1461090178494382
charlescook-ph,4,2,0.5,0.985462962962963,4,4,1.0,0.0010020448870456,1.014751479845908,2.029502959691816,0.5,0.008968609865470852,0.018785633032272042,1.0,0.0009427806886026774,0.03896103896103896,0.03418803418803419,9.261133893391536e-07,0.13981390045384676
charlesvien,10,7,0.7,0.8429976851851851,10,6,1.0,6.563274662105713,1.1862428777373517,8.303700144161462,0.7,0.03139013452914798,0.021991767922058297,1.0,0.0038717212001833884,0.11688311688311688,0.05128205128205128,0.006065932395910627,0.20894364639050497
christiaan-ph,34,21,0.6176470588235294,0.1284837962962963,26,17,1.0,15.92627366802645,7.783082605170705,163.4447347085848,0.6176470588235294,0.09417040358744394,0.14532365670776032,1.0,0.07629514809996976,0.3246753246753247,0.1452991452991453,0.014719435702851585,0.26701373356642166
clr182,34,21,0.6176470588235294,0.799224537037037,30,11,1.0,12.668142716325928,1.2512128365168784,26.275469566854447,0.6176470588235294,0.09417040358744394,0.023206420401378998,1.0,0.01226135926530621,0.37662337662337664,0.09401709401709402,0.01170819465207732,0.24495316486407057
cvolzer3,24,20,0.8333333333333334,0.5637268518518519,14,17,1.0,12.727052800527732,1.7739087586744957,35.478175173489916,0.8333333333333334,0.08968609865470852,0.0329785352326976,1.0,0.016557395311821377,0.16883116883116883,0.1452991452991453,0.011762640733736639,0.2738971140387781
daibhin,5,4,0.8,1.9519386574074076,4,0,1.0,6.619188692538206,0.5123111816066055,2.049244726426422,0.8,0.017937219730941704,0.009392209280257649,1.0,0.0009519966023935749,0.03896103896103896,0.0,0.006117609454398618,0.2119218025918356
danielalanbates,2,0,0.0,,2,2,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.012987012987012988,0.017094017094017096,0.0,0.0036574536574536577
danielcarletti,9,8,0.8888888888888888,2.448431712962963,8,9,1.0,3.853403224780759,0.4084247049675127,3.2673976397401017,0.8888888888888888,0.03587443946188341,0.007449989078983181,1.0,0.0015206585861029845,0.09090909090909091,0.07692307692307693,0.003561405648716945,0.2525719198239386
danielxnj,17,13,0.7647058823529411,0.6207060185185185,13,9,1.0,85.41793306828276,1.611068638236775,20.943892297078072,0.7647058823529411,0.05829596412556054,0.029934141181382788,1.0,0.009772455554290486,0.15584415584415584,0.07692307692307693,0.07894525737010463,0.24778594845556548
daniloc,7,5,0.7142857142857143,0.1840509259259259,7,1,1.0,20.367996657911096,5.433278832851214,27.166394164256072,0.7142857142857143,0.02242152466367713,0.10139266103558173,1.0,0.01267726349486286,0.07792207792207792,0.008547008547008548,0.01882458027855612,0.2177597362821485
danjool,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
darkLord19,1,1,1.0,7.766828703703704,1,0,1.0,0.0,0.1287526786219887,0.1287526786219887,1.0,0.004484304932735426,0.002221352235453535,1.0,5.5466449514982746e-05,0.0,0.0,0.0,0.2513411314336378
darkopia,36,13,0.3611111111111111,0.3212731481481481,20,10,1.0,74.31779508011964,3.1126161827220984,40.46401037538728,0.3611111111111111,0.05829596412556054,0.05800647618033533,1.0,0.018884898620619088,0.24675324675324675,0.08547008547008547,0.06868624946811407,0.16596688634576393
david-is-back,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dmarchuk,8,7,0.875,0.7337962962962963,7,8,1.0,0.7576925857579402,1.362776025236593,9.53943217665615,0.875,0.03139013452914798,0.025292161354966102,1.0,0.00444858952373411,0.07792207792207792,0.06837606837606838,0.0007002772607745472,0.2486824054288188
dmarticus,111,95,0.8558558558558559,0.9088194444444444,48,60,0.972972972972973,16.269643448126192,1.1003285703369756,104.53121418201269,0.8558558558558559,0.4260089686098655,0.020385548240634203,0.972972972972973,0.04879295269921989,0.6103896103896104,0.5128205128205128,0.015036786107964068,0.44758703878535316
dmiska25,2,2,1.0,6.459814814814815,2,0,1.0,24.95939150390625,0.15480319926611816,0.3096063985322363,1.0,0.008968609865470852,0.00270838239650634,1.0,0.0001398931532574746,0.012987012987012988,0.0,0.023068055094495568,0.2565902559098969
dschofie,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
dustinbyrne,18,13,0.7222222222222222,0.7476041666666666,14,4,1.0,2.149131181883733,1.3376062421624635,17.388881148112027,0.7222222222222222,0.05829596412556054,0.02482159711282609,1.0,0.008112894041129677,0.16883116883116883,0.03418803418803419,0.001986277449962409,0.22612117429170786
edwinyjlim,12,9,0.75,0.1357638888888888,8,2,1.0,3.625033459612197,7.3657289002557595,66.29156010230183,0.75,0.04035874439461883,0.13752097802438756,1.0,0.03094179681586122,0.09090909090909091,0.017094017094017096,0.003350340954932205,0.23875674392505983
